,DATE,WEATHER
0,2001-01-03,Snow
1,2001-01-03,Snow
2,2001-01-04,Sunny
3,2001-01-04,Snow
4,2001-01-05,Fog
5,2001-01-08,Snow
6,2001-01-08,Fog
7,2001-01-11,Fog
8,2001-01-11,Sunny
9,2001-01-12,Fog
10,2001-01-12,Sunny
11,2001-01-12,Fog
12,2001-01-12,Fog
13,2001-01-13,Sunny
14,2001-01-13,Fog
15,2001-01-13,Fog
16,2001-01-14,Fog
17,2001-01-14,Snow
18,2001-01-14,Fog
19,2001-01-14,Fog
20,2001-01-15,Snow
21,2001-01-15,Snow
22,2001-01-15,Fog
23,2001-01-16,Snow
24,2001-01-17,Fog
25,2001-01-17,Sunny
26,2001-01-17,Fog
27,2001-01-18,Sunny
28,2001-01-18,Fog
29,2001-01-18,Fog
30,2001-01-19,Snow
31,2001-01-19,Fog
32,2001-01-20,Snow
33,2001-01-21,Sunny
34,2001-01-22,Sunny
35,2001-01-23,Sunny
36,2001-01-24,Snow
37,2001-01-26,Snow
38,2001-01-26,Fog
39,2001-01-28,Snow
40,2001-01-28,Snow
41,2001-01-29,Snow
42,2001-01-29,Snow
43,2001-01-29,Snow
44,2001-01-30,Fog
45,2001-01-30,Snow
46,2001-01-30,Snow
47,2001-01-31,Fog
48,2001-01-31,Snow
49,2001-01-31,Sunny
50,2001-02-01,Snow
51,2001-02-01,Fog
52,2001-02-03,Snow
53,2001-02-03,Fog
54,2001-02-04,Fog
55,2001-02-04,Snow
56,2001-02-05,Fog
57,2001-02-05,Snow
58,2001-02-06,Rain
59,2001-02-06,Fog
60,2001-02-06,Fog
61,2001-02-07,Snow
62,2001-02-07,Fog
63,2001-02-07,Fog
64,2001-02-08,Rain
65,2001-02-08,Cloudy
66,2001-02-08,Cloudy
67,2001-02-09,Snow
68,2001-02-09,Snow
69,2001-02-09,Fog
70,2001-02-09,Fog
71,2001-02-13,Fog
72,2001-02-13,Rain
73,2001-02-14,Fog
74,2001-02-14,Snow
75,2001-02-14,Fog
76,2001-02-14,Fog
77,2001-02-15,Fog
78,2001-02-16,Fog
79,2001-02-19,Sunny
80,2001-02-20,Fog
81,2001-02-22,Snow
82,2001-02-22,Fog
83,2001-02-23,Snow
84,2001-02-24,Snow
85,2001-02-24,Snow
86,2001-02-24,Snow
87,2001-02-24,Snow
88,2001-02-24,Snow
89,2001-02-25,Rain
90,2001-02-25,Cloudy
91,2001-02-25,Cloudy
92,2001-02-25,Cloudy
93,2001-03-01,Snow
94,2001-03-01,Snow
95,2001-03-02,Sunny
96,2001-03-03,Fog
97,2001-03-03,Sunny
98,2001-03-04,Snow
99,2001-03-05,Snow
100,2001-03-08,Fog
101,2001-03-08,Snow
102,2001-03-10,Fog
103,2001-03-10,Snow
104,2001-03-11,Snow
105,2001-03-11,Snow
106,2001-03-12,Fog
107,2001-03-12,Rain
108,2001-03-13,Snow
109,2001-03-13,Fog
110,2001-03-14,Rain
111,2001-03-14,Fog
112,2001-03-15,Snow
113,2001-03-15,Fog
114,2001-03-16,Fog
115,2001-03-16,Snow
116,2001-03-17,Fog
117,2001-03-17,Snow
118,2001-03-21,Sunny
119,2001-03-22,Sunny
120,2001-03-23,Sunny
121,2001-03-24,Snow
122,2001-03-25,Snow
123,2001-03-28,Rain
124,2001-03-29,Rain
125,2001-03-29,Fog
126,2001-03-30,Sunny
127,2001-03-31,Rain
128,2001-04-04,Sunny
129,2001-04-05,Cloudy
130,2001-04-05,Cloudy
131,2001-04-05,Cloudy
132,2001-04-05,Rain
133,2001-04-06,Fog
134,2001-04-06,Rain
135,2001-04-06,Cloudy
136,2001-04-06,Cloudy
137,2001-04-07,Fog
138,2001-04-07,Sunny
139,2001-04-07,Cloudy
140,2001-04-09,Rain
141,2001-04-09,Cloudy
142,2001-04-09,Cloudy
143,2001-04-10,Rain
144,2001-04-11,Rain
145,2001-04-11,Cloudy
146,2001-04-11,Fog
147,2001-04-12,Cloudy
148,2001-04-14,Rain
149,2001-04-15,Fog
150,2001-04-15,Rain
151,2001-04-16,Snow
152,2001-04-17,Snow
153,2001-04-19,Rain
154,2001-04-20,Rain
155,2001-04-21,Cloudy
156,2001-04-21,Cloudy
157,2001-04-21,Rain
158,2001-04-22,Cloudy
159,2001-04-22,Rain
160,2001-04-23,Rain
161,2001-04-24,Rain
162,2001-04-25,Rain
163,2001-04-30,Rain
164,2001-04-30,Cloudy
165,2001-05-04,Fog
166,2001-05-04,Rain
167,2001-05-05,Rain
168,2001-05-06,Snow
169,2001-05-06,Rain
170,2001-05-07,Rain
171,2001-05-07,Cloudy
172,2001-05-08,Cloudy
173,2001-05-08,Rain
