,Date,District,Community Area,Time Period,Average Traffic condition_x,SEGMENTID,WEATHER,PER CAPITA INCOME,Day,Crime Rate,dayOfWeek,SPEED,PER CAPITA INCOME 
0,2013-01-20 18:00:00,10,29.0,afternoon,free flow,534,Cloudy,Low,2013-01-20,0.014534883720930232,weekend,20.2680393912265,12034
1,2013-01-18 07:00:00,10,29.0,morning,free flow,534,Sunny,Low,2013-01-18,0.014054054054054054,weekday,20.2680393912265,12034
2,2013-01-24 16:30:00,10,29.0,afternoon,free flow,534,Sunny,Low,2013-01-24,0.030303030303030304,weekday,20.2680393912265,12034
3,2013-04-11 10:34:00,10,29.0,morning,free flow,534,Sunny,Low,2013-04-11,0.014833127317676144,weekday,20.2680393912265,12034
4,2013-04-21 21:30:00,10,29.0,evening,free flow,534,Sunny,Low,2013-04-21,0.02069857697283312,weekend,20.2680393912265,12034
5,2013-05-03 06:45:00,10,29.0,morning,free flow,534,Sunny,Low,2013-05-03,0.013303769401330377,weekday,20.2680393912265,12034
6,2013-05-12 14:00:00,10,29.0,afternoon,free flow,534,Sunny,Low,2013-05-12,0.026474127557160047,weekend,20.2680393912265,12034
7,2013-05-12 11:30:00,10,29.0,morning,free flow,534,Sunny,Low,2013-05-12,0.01684717208182912,weekend,20.2680393912265,12034
8,2013-05-16 11:20:00,10,29.0,morning,free flow,534,Sunny,Low,2013-05-16,0.013415892672858616,weekday,20.2680393912265,12034
9,2013-05-17 13:54:00,10,29.0,afternoon,free flow,534,Cloudy,Low,2013-05-17,0.017223910840932118,weekday,20.2680393912265,12034
10,2013-05-19 15:00:00,10,29.0,afternoon,free flow,534,Cloudy,Low,2013-05-19,0.02235294117647059,weekend,20.2680393912265,12034
11,2013-06-17 17:40:00,10,29.0,afternoon,free flow,534,Cloudy,Low,2013-06-17,0.028431372549019607,weekday,20.2680393912265,12034
12,2013-06-20 08:30:00,10,29.0,morning,free flow,534,Sunny,Low,2013-06-20,0.013499480789200415,weekday,20.2680393912265,12034
13,2013-06-28 11:30:00,10,29.0,morning,free flow,534,Cloudy,Low,2013-06-28,0.006607929515418502,weekday,20.2680393912265,12034
14,2013-08-24 20:00:00,10,29.0,evening,free flow,534,Sunny,Low,2013-08-24,0.02025586353944563,weekend,20.2680393912265,12034
15,2013-09-07 00:42:00,10,29.0,evening,free flow,534,Cloudy,Low,2013-09-07,0.020652173913043477,weekend,20.2680393912265,12034
16,2013-10-04 20:40:00,10,29.0,evening,free flow,534,Cloudy,Low,2013-10-04,0.013745704467353952,weekday,20.2680393912265,12034
17,2013-12-16 00:01:00,10,29.0,evening,free flow,534,Sunny,Low,2013-12-16,0.0084985835694051,weekday,20.2680393912265,12034
18,2014-12-28 23:37:00,10,29,evening,free flow,534,Sunny,Low,2014-12-28,0.02066772655007949,weekend,20.2680393912265,12034
